[literature] bookID;title;authors;average_rating;language_code;  num_pages;ratings_count;publication_date;publisher  # header
[literature] 1295;The Clan of the Cave Bear (Earth's Children  #1);Jean M. Auel;4.05;eng;512;184418;6/25/2002;Bantam
[literature] 1301;Moneyball: The Art of Winning an Unfair Game;Michael   Lewis;4.26;eng;317;85094;3/17/2004;W. W. Norton  Company
[literature] 1303;The 48 Laws of Power;Robert Greene/Joost Elffers;4.18;eng;452;60946;9/1/2000;Penguin (Business)
[literature] 1305;Gates of Fire;Steven Pressfield;4.42;eng;392;21934;9/27/2005;Bantam
[literature] 1307;Fire Sea (The Death Gate Cycle  #3);Margaret Weis/Tracy Hickman;4.07;eng;414;16312;3/1/1992;Spectra Books
[literature] 1423;The Compleat Works of Wllm Shkspr (abridged);Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield;4.44;eng;137;8159;2/1/1994;Applause Books
[literature] 1463;Euripides V: Electra / The Phoenician Women / The Bacchae;Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith;4.21;eng;228;3334;1/15/1969;University of Chicago Press
[literature] 1467;Ten Plays;Euripides/Moses Hadas/John Maclean;4.17;en-US;432;1464;8/1/1990;Bantam Classics
[literature] 1523;Prometheus Bound and Other Plays;Aeschylus/Philip Vellacott;4.10;eng;160;4303;8/30/1961;Penguin Books
[literature] 1536;Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4);Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson;4.14;eng;254;5032;5/15/1969;University of Chicago Press
[literature] 1538;The Complete Plays;Sophocles/Paul Roche;4.27;eng;420;2883;3/1/2001;New American Library
[literature] 1560;Four Plays: The Clouds/The Birds/Lysistrata/The Frogs;Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker;4.06;eng;624;6086;11/1/1984;Plume
[literature] 1562;The Complete Plays;Aristophanes/Moses Hadas;4.21;eng;577;1998;3/1/1984;Bantam Classics
[literature] 1686;Augustine of Hippo: A Biography;Peter R.L. Brown;4.27;en-US;576;1643;11/24/2000;University of California Press
[literature] 1709;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;4.07;eng;302;2488;5/1/2001;Ecco Press
[literature] 1715;Metamorphoses;Ovid/David Raeburn/Denis Feeney;4.05;eng;723;48223;8/3/2004;Penguin
[literature] 1815;Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism;Daniel Pinchbeck/Lee Fukui;4.06;en-US;336;2799;8/12/2003;Three Rivers Press (CA)
[literature] 1848;Wild Swans: Three Daughters of China;Jung Chang;4.26;eng;562;73572;8/12/2003;Simon  Schuster
[literature] 1853;Wild About Books;Judy Sierra/Marc Brown;4.17;eng;40;4541;8/10/2004;Alfred A. Knopf Books for Young Readers
[literature] 1887;The Making of Pride and Prejudice;Sue Birtwistle/Sue Conklin/Susie Conklin;4.45;eng;128;4244;9/7/1995;Penguin Books Ltd
[literature] 1888;Pride and Prejudice;Jane Austen;4.26;eng;333;2399;2/11/2004;Oxford University Press
[literature] 1889;Pride & Prejudice;Jane Austen/Vivien Jones;4.26;eng;392;1821;9/1/2005;Penguin Books
[literature] 1891;Pride and Prejudice;Jane Austen/George Saintsbury/Hugh  Thomson;4.26;eng;476;1146;5/5/2005;Dover Publications
[literature] 1893;Pride and Prejudice;Jane Austen/Carol Howard;4.26;eng;392;1628;9/20/2004;Barnes  Noble Classics
[literature] 1898;Into Thin Air: A Personal Account of the Mount Everest Disaster;Jon Krakauer;4.17;eng;368;351406;10/19/1999;Anchor Books
[literature] 1934;Little Women;Louisa May Alcott;4.07;eng;449;1479727;4/6/2004;Signet Classics
[literature] 1935;Little Women (Little Women  #1);Louisa May Alcott/Scott McKowen;4.07;eng;536;1395;10/1/2004;Sterling
[literature] 1946;Little Women  Little Men  Jo's Boys;Louisa May Alcott/Elaine Showalter;4.33;eng;1064;3124;2/17/2005;Library of America
[literature] 1972;Den of Thieves;James B. Stewart;4.16;en-US;592;9718;9/1/1992;Simon  Schuster
[literature] 1976;Den of Thieves (Cat Royal  #3);Julia Golding;4.21;eng;416;1432;1/31/2007;Egmont Books Ltd
[literature] 2002;Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry;J.K. Rowling;4.40;eng;240;11515;11/1/2001;Arthur A. Levine
[literature] 2005;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling;4.57;eng;768;1213;6/23/2006;Bloomsbury Publishing
[literature] 2045;Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters;Raymond Chandler/Frank MacShane;4.47;eng;1076;1107;10/1/1995;Library of America
[literature] 2046;Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window;Raymond Chandler/Frank MacShane;4.50;eng;1199;1324;10/1/1995;Library of America
[literature] 2049;The High Window (Philip Marlowe  #3);Raymond Chandler;4.08;eng;265;13233;8/12/1992;Vintage Crime/Black Lizard
[literature] 2051;The Simple Art of Murder;Raymond Chandler;4.16;eng;384;4952;9/12/1988;Vintage Crime/Black Lizard
[literature] 2054;The Long Goodbye (Philip Marlowe  #6);Raymond Chandler;4.22;eng;379;26389;8/12/1988;Vintage Crime/Black Lizard
[literature] 2081;The Mind’s I: Fantasies and Reflections on Self and Soul;Douglas R. Hofstadter/Daniel C. Dennett;4.14;eng;512;4786;4/1/1985;Bantam Books
[literature] 2094;A Briefer History of Time;Stephen Hawking/Leonard Mlodinow;4.22;eng;176;24035;9/27/2005;Bantam
[literature] 2095;The Universe in a Nutshell;Stephen Hawking;4.15;eng;216;29607;11/6/2001;Bantam
[literature] 2096;God Created the Integers: The Mathematical Breakthroughs That Changed History;Stephen Hawking;4.07;eng;1160;1682;10/4/2005;Running Press Book Publishers
[literature] 2099;Stephen Hawking's Universe: The Cosmos Explained;David Filkin/Stephen Hawking;4.29;eng;304;1469;10/9/1998;Basic Books
[literature] 2127;The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late;Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch;4.23;en-US;400;1392;4/27/2004;Broadway Books
[literature] 2142;Blink;Ted Dekker;4.17;eng;400;13334;10/11/2004;Thomas Nelson
[literature] 2155;Jane Austen's Letters;Jane Austen/Deirdre Le Faye;4.16;eng;672;2278;4/3/1997;Oxford University Press  USA
[literature] 2156;Persuasion;Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch;4.14;eng;249;441462;3/18/2004;Oxford University Press
[literature] 2199;Team of Rivals: The Political Genius of Abraham Lincoln;Doris Kearns Goodwin;4.28;eng;916;133840;9/26/2006;Simon & Schuster
[literature] 2203;John Adams;David McCullough;4.06;eng;751;282649;5/22/2001;Simon & Schuster Paperbacks
[literature] 2209;Passionate Sage: The Character and Legacy of John Adams;Joseph J. Ellis;4.05;eng;288;2622;2/17/2001;W. W. Norton  Company
[literature] 2249;The Seven Habits of Highly Effective People;Stephen R. Covey;4.10;eng;368;2505;9/15/1990;Free Press
[literature] 2250;The 7 Habits of Highly Effective People Personal Workbook;Stephen R. Covey;4.24;eng;192;1874;1/6/2004;Simon  Schuster
[literature] 2255;Way of the Peaceful Warrior: A Book That Changes Lives;Dan Millman;4.14;en-US;240;39947;4/13/2006;HJ Kramer
[literature] 2279;Truman;David McCullough;4.12;eng;1120;71764;6/14/1993;Simon  Schuster
[literature] 2281;The Complete Stories of Truman Capote;Truman Capote/Reynolds Price;4.20;eng;320;3993;9/13/2005;Vintage
[literature] 2299;Emergence: Labeled Autistic;Temple Grandin/Margaret M. Scariano;4.07;en-GB;200;1827;9/1/1996;Grand Central Publishing
[literature] 2327;The Letters of J.R.R. Tolkien;J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien;4.15;eng;502;4689;6/6/2000;Mariner Books
[literature] 2336;Tandia;Bryce Courtenay;4.05;eng;905;8461;8/31/1998;Penguin Books Australia Ltd.
[literature] 2368;Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt;David McCullough;4.12;eng;445;23064;5/12/1982;Simon  Schuster
[literature] 2370;John Adams;David McCullough;4.06;en-US;752;1852;5/1/2001;Simon & Schuster
[literature] 2371;The Johnstown Flood;David McCullough;4.11;eng;302;14739;1/1/1990;Peter Smith Publisher
[literature] 2372;The Path Between the Seas: The Creation of the Panama Canal  1870-1914;David McCullough;4.20;eng;697;12178;6/1/2004;Simon  Schuster
[literature] 2373;The Bone Collector (Lincoln Rhyme  #1);Jeffery Deaver;4.19;eng;528;140014;4/1/1998;Signet Book
[literature] 2519;The Name of the Rose (Everyman's Library (Cloth));Umberto Eco;4.12;en-US;560;1338;9/26/2006;Everyman's Library
[literature] 2520;In the Name of Jesus: Reflections on Christian Leadership;Henri J.M. Nouwen;4.34;en-US;120;8228;10/1/1992;Crossroad
[literature] 2521;Blood Done Sign My Name: A True Story;Timothy B. Tyson;4.15;eng;368;2594;5/3/2005;Broadway Books
[literature] 2526;Blindness;José Saramago/Giovanni Pontiero;4.11;eng;326;107455;10/4/1999;Mariner Books
[literature] 2545;The Treasured Writings of Kahlil Gibran;Kahlil Gibran;4.42;eng;902;1432;10/6/2009;Castle Books
[literature] 2547;The Prophet;Kahlil Gibran/جبران خليل جبران/Jihad El;4.23;eng;127;184293;1/1/2010;Rupa & Co
[literature] 2557;De Kooning: An American Master;Mark Stevens/Annalyn Swan;4.11;eng;732;2732;4/4/2006;Knopf Publishing Group
[literature] 2654;To Kill a Mockingbird;Harper Lee;4.27;eng;323;10524;7/5/2005;Harper Perennial Modern Classics
[literature] 2677;A Modest Proposal and Other Satirical Works;Jonathan Swift;4.05;eng;64;13562;2/2/1996;Dover Publications
[literature] 2711;The Riverside Chaucer;Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson;4.18;enm;1327;7760;12/12/1987;Houghton Mifflin
[literature] 2718;Salt in His Shoes: Michael Jordan in Pursuit of a Dream;Deloris Jordan/Kadir Nelson/Roslyn M. Jordan;4.20;eng;32;1178;11/1/2003;Simon  Schuster Books for Young Readers
[literature] 2725;Illuminations: Essays and Reflections;Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier;4.29;eng;288;9254;1/13/1969;Schocken
[literature] 2743;The Lost Boy (Dave Pelzer #2);Dave Pelzer;4.10;eng;331;52028;8/1/1997;Health Communications Inc
[literature] 2761;The Denial of Death;Ernest Becker/Sam Keen/Daniel Goleman;4.16;eng;336;6599;5/8/1997;Free Press
[literature] 2767;A People's History of the United States;Howard Zinn;4.08;eng;729;167321;8/2/2005;Harper Perennial
[literature] 2802;E=mc²: A Biography of the World's Most Famous Equation;David Bodanis;4.09;eng;337;6368;10/1/2000;Berkley Trade
[literature] 2819;A Circle of Quiet (Crosswicks Journals #1);Madeleine L'Engle;4.21;en-CA;246;5236;1/1/1984;HarperOne
[literature] 2855;A Short History of Decay;Emil M. Cioran/Richard Howard;4.25;eng;186;1771;9/15/1998;Arcade Publishing
[literature] 2879;Bleach  Volume 15;Tite Kubo;4.42;eng;208;19945;10/3/2006;VIZ Media LLC
[literature] 2880;Bleach  Volume 01;Tite Kubo;4.22;eng;200;140403;5/19/2004;VIZ Media LLC
[literature] 2881;Bleach  Volume 14;Tite Kubo;4.38;eng;208;10356;8/1/2006;VIZ Media LLC
[literature] 2882;Bleach  Volume 11;Tite Kubo;4.36;eng;208;8773;2/7/2006;VIZ Media LLC
[literature] 2883;Bleach  Volume 12;Tite Kubo;4.36;eng;208;8948;4/4/2006;VIZ Media LLC
[literature] 2923;Winterdance: The Fine Madness of Running the Iditarod;Gary Paulsen;4.26;eng;272;5437;2/17/1995;Mariner Books
[literature] 2968;The Complete Short Stories of Mark Twain;Mark Twain/Charles Neider;4.28;eng;848;5710;3/1/1984;Bantam Classics
[literature] 2971;The Autobiography of Mark Twain;Mark Twain/Charles Neider;4.05;eng;508;2871;11/28/2000;Harper Perennial
[literature] 2998;The Secret Garden;Frances Hodgson Burnett;4.13;eng;331;764134;9/1/1998;Children's Classics
[literature] 3003;The Secret Garden;Frances Hodgson Burnett/Sandra M. Gilbert;4.13;eng;281;1739;7/1/2003;Signet
[literature] 3004;The Secret Garden;Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober;4.33;eng;160;1653;3/1/2005;Sterling
[literature] 3008;A Little Princess;Frances Hodgson Burnett/Nancy Bond;4.20;eng;242;238192;2/26/2002;Penguin Books
[literature] 3023;Basic Economics: A Citizen's Guide to the Economy;Thomas Sowell;4.32;eng;448;5899;12/24/2003;Basic Books
[literature] 3040;Black Rednecks and White Liberals;Thomas Sowell;4.38;eng;372;2579;6/1/2005;Encounter Books
[literature] 3041;Applied Economics: Thinking Beyond Stage One;Thomas Sowell;4.14;eng;256;1546;11/13/2003;Basic Books
[literature] 3047;A Conflict of Visions: Ideological Origins of Political Struggles;Thomas Sowell;4.31;eng;304;1797;1/3/2002;Basic Books
[literature] 3088;A Room with a View / Howards End;E.M. Forster/Benjamin DeMott;4.10;eng;449;2450;2/4/1986;Signet
[literature] 3117;The Rescue (Kidnapped  #3);Gordon Korman;4.11;eng;140;1864;9/1/2006;Scholastic Books
[literature] 3119;Hunting the Hunter (On the Run  #6);Gordon Korman;4.21;eng;151;1928;2/1/2006;Scholastic
[literature] 3120;Public Enemies (On The Run  #5);Gordon Korman;4.19;eng;150;2050;12/1/2005;Scholastic
[literature] 3273;Moloka'i (Moloka'i #1);Alan Brennert;4.17;eng;405;91395;10/4/2004;St. Martin's Griffin
[literature] 3368;Don't Make Me Think: A Common Sense Approach to Web Usability;Steve Krug;4.25;en-US;201;7736;8/28/2005;New Riders Publishing
[literature] 3416;Caesar (Masters of Rome  #5);Colleen McCullough;4.37;eng;928;5991;1/28/2003;Avon
[literature] 3417;Caesar's Women (Masters of Rome  #4);Colleen McCullough;4.25;eng;943;5423;2/1/1997;Avon
[literature] 3421;The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6);Colleen McCullough;4.29;eng;1110;4291;10/28/2003;Pocket Books
[literature] 3424;The Grass Crown (Masters of Rome  #2);Colleen McCullough;4.30;eng;1104;9623;7/1/1992;Avon
[literature] 3462;The Rescue;Nicholas Sparks;4.11;eng;352;154933;4/1/2005;Grand Central Publishing
[literature] 3473;A Walk to Remember;Nicholas Sparks;4.17;eng;240;555995;9/1/2004;Grand Central Publishing
[literature] 3507;Twelve Sharp (Stephanie Plum  #12);Janet Evanovich;4.15;eng;310;81381;6/20/2006;St. Martin's Press
[literature] 3562;Emily of New Moon (Emily  #1);L.M. Montgomery;4.10;eng;339;38411;4/1/1983;Dell Laurel-Leaf
[literature] 3579;The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8);L.M. Montgomery;4.43;eng;2088;98611;10/6/1998;Starfire
[literature] 3581;Sherlock Holmes: The Complete Novels and Stories  Volume I;Arthur Conan Doyle;4.47;eng;1059;24087;8/26/1986;Bantam Classics
[literature] 3582;The New Annotated Sherlock Holmes: The Complete Short Stories;Arthur Conan Doyle/Leslie S. Klinger;4.64;eng;1878;1411;11/30/2004;W. W. Norton & Company
[literature] 3583;The New Annotated Sherlock Holmes: The Novels;Arthur Conan Doyle/Leslie S. Klinger;4.53;eng;907;2203;11/7/2005;W. W. Norton & Company
[literature] 3584;The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases;E.J. Wagner;4.22;eng;244;2037;3/1/2006;Wiley
[literature] 3597;The Complete Adventures and Memoirs of Sherlock Holmes;Arthur Conan Doyle;4.33;eng;334;2184;7/1/2001;Gramercy Books
[literature] 3635;The Dream Giver;Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp;4.26;eng;157;5044;9/3/2003;Multnomah Books
[literature] 3636;The Giver (The Giver  #1);Lois Lowry;4.13;eng;208;1585589;1/24/2006;Ember
[literature] 3640;Indian Givers: How the Indians of the Americas Transformed the World;Jack Weatherford;4.11;eng;288;1760;11/29/1989;Ballantine Books
[literature] 3688;Complete Short Stories;Graham Greene/Pico Iyer;4.17;eng;594;1122;2/1/2005;Penguin Classics
[literature] 3733;Redburn / White-Jacket / Moby-Dick;Herman Melville/G. Thomas Tanselle;4.20;eng;1436;1031;4/15/1983;Library of America
